filename,original_path,suggested_keywords,primary_category,notes
credit @signatureeditsco - signatureedits.com 2C8A1446.CR2,C:\Users\rodri\Desktop\Side_A\input_images\credit @signatureeditsco - signatureedits.com 2C8A1446.CR2,"grassland, wilderness, people in nature, love, romance, human back, holding hands",Other,auto-generated
DSC00326.dng,C:\Users\rodri\Desktop\Side_A\input_images\DSC00326.dng,"portrait, person, outdoor, water, water resources, body of water, waterfall, nature, watercourse, rock",Outdoor,auto-generated
DSC02765.dng,C:\Users\rodri\Desktop\Side_A\input_images\DSC02765.dng,"portrait, person, outdoor, coastal and oceanic landforms, people in nature, lake, sea, leisure, ocean, headland",Outdoor,auto-generated
RYN03000.dng,C:\Users\rodri\Desktop\Side_A\input_images\RYN03000.dng,"portrait, person, outdoor, mountainous landforms, mountain, hill, landscape, highland, wilderness, terrain",Outdoor,auto-generated
tag @ryanbreitkreutz - free raws from @signatureeditsco - DSC07073.dng,C:\Users\rodri\Desktop\Side_A\input_images\tag @ryanbreitkreutz - free raws from @signatureeditsco - DSC07073.dng,"outdoor, mountainous landforms, mountain, road, hill, highland, ecoregion, wilderness",Outdoor,auto-generated
