filename,original_path,category,top_labels,subject_tags,environment_tags,action_tags,style_tags,face_count,confidence_summary,tag_source,analysis_source,processing_seconds,approved,date_processed
credit @signatureeditsco - signatureedits.com 2C8A1446.CR2,C:\Users\rodri\Desktop\Side_A\input_images\credit @signatureeditsco - signatureedits.com 2C8A1446.CR2,Other,"grassland, wilderness, people in nature, love, romance, human back, holding hands",,,,,0,grassland(0.90); wilderness(0.89); people in nature(0.87); love(0.85); romance(0.75),preview_fallback,preview,4.833,false,2026-04-01T14:57:05.708848+00:00
DSC00326.dng,C:\Users\rodri\Desktop\Side_A\input_images\DSC00326.dng,Outdoor,"water, water resources, body of water, waterfall, nature, watercourse, rock",person,outdoor,,portrait,1,water(0.99); water resources(0.98); body of water(0.98); waterfall(0.98); nature(0.97),preview_fallback,preview,2.927,false,2026-04-01T14:57:08.660316+00:00
DSC02765.dng,C:\Users\rodri\Desktop\Side_A\input_images\DSC02765.dng,Outdoor,"coastal and oceanic landforms, people in nature, lake, sea, leisure, ocean, headland",person,outdoor,,portrait,1,coastal and oceanic landforms(0.88); people in nature(0.86); lake(0.85); sea(0.83); leisure(0.82),preview_fallback,preview,2.936,false,2026-04-01T14:57:11.620066+00:00
RYN03000.dng,C:\Users\rodri\Desktop\Side_A\input_images\RYN03000.dng,Outdoor,"mountainous landforms, mountain, hill, landscape, highland, wilderness, terrain",person,outdoor,,portrait,1,mountainous landforms(0.98); mountain(0.97); hill(0.93); landscape(0.93); highland(0.92),preview_fallback,preview,3.481,false,2026-04-01T14:57:15.123367+00:00
tag @ryanbreitkreutz - free raws from @signatureeditsco - DSC07073.dng,C:\Users\rodri\Desktop\Side_A\input_images\tag @ryanbreitkreutz - free raws from @signatureeditsco - DSC07073.dng,Outdoor,"mountainous landforms, mountain, road, hill, highland, ecoregion, wilderness",,outdoor,,,0,mountainous landforms(0.99); mountain(0.98); road(0.96); hill(0.96); highland(0.94),preview_fallback,preview,5.074,false,2026-04-01T14:57:20.202290+00:00
